Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","275","Palestine","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.127","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","591","Panama","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.11","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","600","Paraguay","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.809","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","604","Pérou","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.898","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","608","Philippines","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.095","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","616","Pologne","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.584","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","620","Portugal","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.583","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","634","Qatar","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.679","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","140","République centrafricaine","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.284","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","410","République de Corée","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.188","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","498","République de Moldova","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.746","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","180","République démocratique du Congo","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.207","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","418","République démocratique populaire lao","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.105","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","214","République dominicaine","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.898","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","834","République-Unie de Tanzanie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.657","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","642","Roumanie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.945","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","826","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.494","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","646","Rwanda","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.919","E","Valeur estimée"
